timestamp,segment,distance_desc,distance_cm
1787717635.455,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,53.1
1787717635.656,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,54.0
1787717635.856,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,54.2
1787717636.057,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,54.2
1787717636.257,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,53.8
1787717636.458,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,52.3
1787717636.658,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,51.4
1787717636.859,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,50.9
1787717637.059,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,50.3
1787717637.260,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,50.1
1787717637.460,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,49.6
1787717637.661,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,49.1
1787717637.861,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,48.6
1787717638.062,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,48.0
1787717638.262,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,46.4
1787717638.462,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,45.8
1787717638.663,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,45.8
1787717638.863,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,46.1
1787717639.064,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,46.1
1787717639.264,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,46.5
1787717639.465,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,46.8
1787717639.665,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,46.8
1787717639.865,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,47.4
1787717640.066,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,46.6
1787717640.266,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,46.6
1787717640.467,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,46.2
1787717640.667,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,46.6
1787717640.868,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,46.2
1787717641.068,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,46.2
1787717641.268,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,47.0
1787717641.469,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,47.0
1787717641.669,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,46.4
1787717641.870,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,46.4
1787717642.070,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,49.2
1787717642.270,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,49.2
1787717642.471,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,47.6
1787717642.671,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,47.8
1787717642.872,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,50.7
1787717643.072,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,50.7
1787717643.273,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,50.3
1787717643.473,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,49.3
1787717643.674,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,49.2
1787717643.874,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,49.2
1787717644.074,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,51.0
1787717644.275,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,51.5
1787717644.475,angled_hard_50cm,hard flat surface tilted ~30-45deg off perpendicular at ~50cm,51.0
1787717668.198,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",23.2
1787717668.399,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",23.4
1787717668.599,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",23.2
1787717668.799,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",23.2
1787717669.000,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",23.1
1787717669.200,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",22.9
1787717669.400,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",22.6
1787717669.601,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",22.2
1787717669.801,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",22.2
1787717670.002,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",22.2
1787717670.202,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",21.9
1787717670.402,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",21.9
1787717670.603,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",21.5
1787717670.803,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",20.9
1787717671.004,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",19.9
1787717671.204,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",19.6
1787717671.404,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",19.9
1787717671.605,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",19.9
1787717671.806,low_profile_20cm,"low object (book spine, low shelf edge) below main beam axis at ~20cm",19.3
